Nombre Arquetipo,capacidades,Dominio,Subdominio Nivel 1,Subdominio Nivel 2
Generar información,Monitorear información,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
Generar información,Monitorear información,Gestión de la información,Analítica Avanzada,Analítica descriptiva
Generar información,Monitorear información,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva
Generar información,Normalizar dato,Gestión de la información,Analítica Avanzada,Analítica descriptiva
Generar información,Normalizar dato,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
Generar información,Procesar dato,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva
Generar información,Recopilar información,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
Generar información,Recopilar información,Gestión de la información,Analítica Avanzada,Analítica descriptiva
Generar información,Recopilar información,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva
Generar información,Transformar dato,Gestión de la información,Analítica Avanzada,Analítica descriptiva
Generar información,Transformar dato,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
Generar información,Validar calidad de la información,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
Generar información,Validar calidad de la información,Gestión de la información,Analítica Avanzada,Analítica descriptiva
Generar información,Validar calidad de la información,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva
Generar información,Validar contenido de publicación,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
Generar información,Validar contenido de publicación,Gestión de la información,Analítica Avanzada,Analítica descriptiva
Generar información,Validar contenido de publicación,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva
Generar información,Validar procesamiento de la información,Gestión de la información,Analítica Avanzada,Analítica descriptiva
Generar información,Validar procesamiento de la información,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva
Generar información,Validar procesamiento de la información,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
Procesar compensación,Aplicar regla de compensación,Negocios,"Medios de pago, soluciones para empresas, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales"
Procesar compensación,Calcular valor a compensar,Negocios,"Medios de pago, soluciones para empresas, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales"
Procesar compensación,Crear instrucción de pago,Negocios,"Medios de pago, soluciones para empresas, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales"
Procesar compensación,Generar la instrucción de contactabilidad,Negocios,"Medios de pago, soluciones para empresas, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales"
Procesar compensación,Recibir cobro de compensación,Negocios,"Medios de pago, soluciones para empresas, transferencias, comercio internacional",
Realizar Vinculación,Capturar información,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Consultar información,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Establecer cláusulas  y condiciones de relacionamiento,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Evaluar debida diligencia,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Evaluar restricciones y Bloqueos,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Formalizar vinculación,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Generar trazabilidad de la vinculación,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Identificar Representante legal,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Identificar grupos y relacionados,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Identificar riesgos de cumplimiento,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Obtener información y documentación,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Perfilar estado del cliente,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Profundizar vinculación existente,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Registrar información en fuentes oficiales,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Segmentar cliente,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Validar procesos de vinculación en curso,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Verificar integridad y validez de información y documentos,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
Realizar Vinculación,Verificar resultado de vinculaciones,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
