codigo_proceso,t2.procedimiento,total actividades,match paso 5,% paso 5,match paso 6,% paso 6,match paso 7,% paso 7,total match,sin cobertura,% cobertura global
PTO160301,Autorizar transacciones de Medios de Pago,11,0,0.0%,0,0.0%,0,0.0%,0,11,0.0%
PTO160301,Autorizar transacciones en Medio de Pago,10,0,0.0%,0,0.0%,0,0.0%,0,10,0.0%
T050301,Activar Proceso Contingencia,10,0,0.0%,0,0.0%,0,0.0%,0,10,0.0%
T050301,Recibir requerimiento de Clientes,14,0,0.0%,0,0.0%,6,42.9%,6,8,42.9%
T050301,Recibir requerimiento de clientes,16,0,0.0%,0,0.0%,6,37.5%,6,10,37.5%
T050301,Recibir requerimiento de clientes   ,25,0,0.0%,0,0.0%,0,0.0%,0,25,0.0%
T050301,Recibir requerimientos Entes Legales,20,0,0.0%,0,0.0%,1,5.0%,1,19,5.0%
T050302,Gestionar Derechos de Petición,11,0,0.0%,0,0.0%,2,18.2%,2,9,18.2%
T050302,Gestionar Requerimiento de Clientes,32,0,0.0%,0,0.0%,10,31.2%,10,22,31.2%
T050302,Realizar Abono Temporal yo Definitivo,33,0,0.0%,0,0.0%,9,27.3%,9,24,27.3%
T050303,Responder Requerimiento de Clientes,4,0,0.0%,0,0.0%,2,50.0%,2,2,50.0%
T050303,Responder Requerimiento de clientes,27,0,0.0%,0,0.0%,5,18.5%,5,22,18.5%
T050402,Ejecutar medidas de desembargos,12,0,0.0%,0,0.0%,0,0.0%,0,12,0.0%
T050402,Gestionar requerimientos legal desembargo sobre clientes,19,1,5.3%,0,0.0%,1,5.3%,2,17,10.5%
T050402,Gestionar requerimientos legales de embargos y desembargos sobre clientes,53,0,0.0%,0,0.0%,2,3.8%,2,51,3.8%
T050402,Gestionar solicitudes,4,0,0.0%,0,0.0%,1,25.0%,1,3,25.0%
T050402,Realizar seguimiento a oficios,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T050402,T050402 Gestionar requerimientos legal desembargo sobre clientes,20,1,5.0%,0,0.0%,0,0.0%,1,19,5.0%
T050402,T050402 Gestionar requerimientos legales de embargos y desembargos sobre clientes,26,0,0.0%,0,0.0%,0,0.0%,0,26,0.0%
T050807,Gestionar clientes,10,0,0.0%,0,0.0%,1,10.0%,1,9,10.0%
T050807,Habilitar comerciales mesa de dinero,7,0,0.0%,0,0.0%,2,28.6%,2,5,28.6%
T050807,Negociar Operaciones con Clientes MK,47,0,0.0%,0,0.0%,1,2.1%,1,46,2.1%
T051005,Crear o Vincular Potenciales Clientes,89,7,7.9%,0,0.0%,16,18.0%,23,66,25.8%
T051005,Procedimiento Contingente,12,0,0.0%,0,0.0%,3,25.0%,3,9,25.0%
T051008,ADMINISTRAR INFORMACIÓN DE CLIENTES,13,0,0.0%,0,0.0%,0,0.0%,0,13,0.0%
T051008,Conformar Grupos Cliente,15,0,0.0%,0,0.0%,2,13.3%,2,13,13.3%
T051008,Custodiar y disponer datos,11,0,0.0%,0,0.0%,0,0.0%,0,11,0.0%
T051008,T051008 - Administrar información de clientes,17,0,0.0%,0,0.0%,0,0.0%,0,17,0.0%
T051009,Activar Debida Diligencia,24,0,0.0%,0,0.0%,0,0.0%,0,24,0.0%
T051009,Actualizar Información de Clientes,71,0,0.0%,0,0.0%,9,12.7%,9,62,12.7%
T051009,Gestionar Debida Diligencia,9,0,0.0%,1,11.1%,0,0.0%,1,8,11.1%
T051303,Atender las reclamaciones recibidas,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T051303,Certificar cuentas contables,8,0,0.0%,0,0.0%,1,12.5%,1,7,12.5%
T051303,Conciliar Pagos,4,0,0.0%,0,0.0%,1,25.0%,1,3,25.0%
T051303,Contabilizar Facturación,20,0,0.0%,0,0.0%,2,10.0%,2,18,10.0%
T051303,Gestionar Facturación Dirección Conciliación y Cobranza,15,0,0.0%,0,0.0%,1,6.7%,1,14,6.7%
T051303,Gestionar Facturación de BRP,16,0,0.0%,0,0.0%,0,0.0%,0,16,0.0%
T051303,Gestionar Legalizaciones y Anticipos,8,0,0.0%,0,0.0%,1,12.5%,1,7,12.5%
T051303,Gestionar Otros Gastos Presentación de Demanda,26,0,0.0%,0,0.0%,1,3.8%,1,25,3.8%
T051303,Gestionar cuentas por cobrar,35,0,0.0%,0,0.0%,3,8.6%,3,32,8.6%
T051303,"Gestionar facturación Bonificaciones, OGPD y Honorarios Avanzada",18,0,0.0%,0,0.0%,0,0.0%,0,18,0.0%
T051303,Gestionar facturación comisiones etapa administrativa y  castigada,18,0,0.0%,0,0.0%,1,5.6%,1,17,5.6%
T051303,Gestionar facturación de comisiones Aliados de Cobranza,12,0,0.0%,0,0.0%,0,0.0%,0,12,0.0%
T051303,Legalizar gastos,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
T051701,Administrar Novedades Planta Comercial,48,0,0.0%,0,0.0%,2,4.2%,2,46,4.2%
T051903,"Atender y solucionar quejas, requerimientos y reclamos de clientes, aliados y entes de control",19,0,0.0%,0,0.0%,0,0.0%,0,19,0.0%
T051903,Procedimiento de contingencia,11,0,0.0%,0,0.0%,0,0.0%,0,11,0.0%
T051904,Administrar información para los modelos de atención,38,1,2.6%,0,0.0%,11,28.9%,12,26,31.6%
T051910,Crear Comunidades Negocios e Independientes,28,0,0.0%,0,0.0%,4,14.3%,4,24,14.3%
T051910,Crear Encadenamientos productivos ,65,0,0.0%,0,0.0%,22,33.8%,22,43,33.8%
T051911,Procesar traslado de clientes entre Bancas de Pyme y Empresas,3,0,0.0%,0,0.0%,0,0.0%,0,3,0.0%
T051911,Solicitudes Masivas de Estrategia,8,0,0.0%,0,0.0%,1,12.5%,1,7,12.5%
T051911,Traslados entre bancas día a día,27,0,0.0%,0,0.0%,4,14.8%,4,23,14.8%
T051911,Traslados entre bancas masivos,47,0,0.0%,0,0.0%,7,14.9%,7,40,14.9%
T051918,Personalizar contenido,13,0,0.0%,0,0.0%,4,30.8%,4,9,30.8%
T051918,Personalizar la propuesta de valor para clientes personas e independientes,40,0,0.0%,0,0.0%,6,15.0%,6,34,15.0%
T051923,Habilitar las estrategias de precio,29,0,0.0%,0,0.0%,1,3.4%,1,28,3.4%
T051923,Habilitar las estrategias de precios,95,0,0.0%,0,0.0%,26,27.4%,26,69,27.4%
T051923,Transitorio,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
T051924,Gestionar el uso del servicio de Ecosistemas,80,0,0.0%,0,0.0%,12,15.0%,12,68,15.0%
