codigo_proceso,t2.procedimiento,total actividades,match paso 5,% paso 5,match paso 6,% paso 6,match paso 7,% paso 7,total match,sin cobertura,% cobertura global
T141203,Gestionar Proyectos de Desarrollo Social,6,0,0.0%,0,0.0%,0,0.0%,0,6,0.0%
T141203,Gestionar los proyectos  de la fundación Bancolombia,14,0,0.0%,0,0.0%,0,0.0%,0,14,0.0%
T141203,Gestionar los proyectos de la fundación Bancolombia,12,0,0.0%,0,0.0%,0,0.0%,0,12,0.0%
T141203,Gestionar los proyectos y programas de la Fundación Bancolombia,14,0,0.0%,0,0.0%,1,7.1%,1,13,7.1%
T141203,T141203 Gestionar los proyectos  de la fundación Bancolombia,15,0,0.0%,0,0.0%,0,0.0%,0,15,0.0%
T160021,Actualizar beneficiarios de convenios de nómina y gestión reclamos masivos,22,0,0.0%,0,0.0%,1,4.5%,1,21,4.5%
T160021,Aplicar Novedades Beneficiarios Ahorro a la Mano,6,0,0.0%,0,0.0%,1,16.7%,1,5,16.7%
T160021,Aplicar novedades beneficiarios Ahorro a la Mano,6,0,0.0%,0,0.0%,1,16.7%,1,5,16.7%
T160021,Asignar Tablas de Cargos por Servicios y Tabla de Interes,19,0,0.0%,0,0.0%,0,0.0%,0,19,0.0%
T160021,Asignar tablas de cargos por servicios y tabla de interés,18,0,0.0%,0,0.0%,0,0.0%,0,18,0.0%
T160021,Atender Novedades de cuentas control,19,0,0.0%,0,0.0%,4,21.1%,4,15,21.1%
T160021,Atender novedades de Bolsillos,4,0,0.0%,0,0.0%,1,25.0%,1,3,25.0%
T160021,Atender novedades de apertura de cuenta por autogestión,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
T160021,Atender novedades de cuentas control,19,0,0.0%,0,0.0%,4,21.1%,4,15,21.1%
T160021,Atender servicios y modificaciones de cuenta,23,0,0.0%,0,0.0%,0,0.0%,0,23,0.0%
T160021,Atender solicitudes de AFC,12,0,0.0%,0,0.0%,1,8.3%,1,11,8.3%
T160021,Bloqueo masivo de cupo-plazo de sobregiro,6,0,0.0%,1,16.7%,2,33.3%,3,3,50.0%
T160021,Cambiar estado de cuentas,10,0,0.0%,0,0.0%,6,60.0%,6,4,60.0%
T160021,Modificar cupos de sobregiro masivos,8,0,0.0%,1,12.5%,2,25.0%,3,5,37.5%
T160021,Realizar Mantenimiento de Cuentas en cualquier oficina,6,0,0.0%,0,0.0%,0,0.0%,0,6,0.0%
T160021,Realizar Monitoreo a cuentas control,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
T160021,Realizar cambio código de vendedor,3,0,0.0%,0,0.0%,0,0.0%,0,3,0.0%
T160021,Realizar cambio masivo de planes,16,0,0.0%,0,0.0%,1,6.2%,1,15,6.2%
T160021,Realizar inscripciones de cuentas,56,0,0.0%,0,0.0%,7,12.5%,7,49,12.5%
T160021,Realizar mantenimiento de cuentas en cualquier oficina,3,0,0.0%,0,0.0%,0,0.0%,0,3,0.0%
T160021,Realizar marcación y desmarcación de la exención al GMF,59,0,0.0%,0,0.0%,17,28.8%,17,42,28.8%
T160021,Realizar monitoreo a cuentas control,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
T160021,Realizar monitoreo de cuentas,73,0,0.0%,0,0.0%,7,9.6%,7,66,9.6%
T160021,Realizar novedad de Inembargabilidad a cuentas ahorros y corrientes,5,0,0.0%,1,20.0%,1,20.0%,2,3,40.0%
T160021,Realizar novedad de inembargabilidad a cuentas de ahorro y corriente,5,0,0.0%,1,20.0%,1,20.0%,2,3,40.0%
T160021,Realizar parametrizaciones,30,0,0.0%,0,0.0%,2,6.7%,2,28,6.7%
T160021,Trasladar fondos cuenta maestras pagadoras,12,0,0.0%,0,0.0%,3,25.0%,3,9,25.0%
T160027,Generar Informes internos y externos depósitos,27,0,0.0%,0,0.0%,0,0.0%,0,27,0.0%
T160028,Administrar Extractos Especiales,16,0,0.0%,1,6.2%,1,6.2%,2,14,12.5%
T160028,Atender solicitudes mensajes MT940-CAMT053,6,0,0.0%,0,0.0%,1,16.7%,1,5,16.7%
T160028,Generar Extractos Especiales,10,0,0.0%,0,0.0%,1,10.0%,1,9,10.0%
T160028,Gestionar Desbloqueo de Impresion de Extractos,7,0,0.0%,0,0.0%,0,0.0%,0,7,0.0%
T160028,Gestionar Extractos Especiales,13,0,0.0%,0,0.0%,3,23.1%,3,10,23.1%
T160028,Gestionar usuarios Driver,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T160028,Inscribir mensaje MT940-CAMT053,11,0,0.0%,0,0.0%,1,9.1%,1,10,9.1%
T160028,Modificar mensaje MT940-CAMT053,11,0,0.0%,0,0.0%,1,9.1%,1,10,9.1%
T160028,Monitorear Extractos MT940-CAMT053,6,0,0.0%,0,0.0%,5,83.3%,5,1,83.3%
T160028,Realizar Validacion de Extractos Especiales,13,0,0.0%,0,0.0%,1,7.7%,1,12,7.7%
T160028,Realizar soporte de extractos Especiales,10,0,0.0%,1,10.0%,1,10.0%,2,8,20.0%
T160028,Retirar mensaje MT940-CAMT053,12,0,0.0%,0,0.0%,1,8.3%,1,11,8.3%
T160050,Administrar el proceso contrable,32,0,0.0%,0,0.0%,0,0.0%,0,32,0.0%
T160050,"Administrar el proceso contrable (CVN y MCN, nal e inter, AMX pag y red)",51,0,0.0%,0,0.0%,0,0.0%,0,51,0.0%
T160050,Calcular diferencia en cambio,12,0,0.0%,0,0.0%,0,0.0%,0,12,0.0%
T160050,Conciliar Interfaz IFRS9,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
T160050,Generar Informe Partes Relacionadas,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T160050,Generar contabilidad de Gastos de TII y comisión comercio para EAB,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
T160050,Realizar conciliación contable TDC,10,0,0.0%,0,0.0%,1,10.0%,1,9,10.0%
T160050,Realizar la Razonabilidad de PyG,11,0,0.0%,0,0.0%,1,9.1%,1,10,9.1%
T160057,Actualizar información Comercios Tradicional,17,0,0.0%,0,0.0%,4,23.5%,4,13,23.5%
T160057,Actualizar información MAID,18,0,0.0%,0,0.0%,0,0.0%,0,18,0.0%
T160057,Actualizar información MVV,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
T160057,Autorizar Maquina Imprinter,4,0,0.0%,0,0.0%,2,50.0%,2,2,50.0%
T160057,Cambiar cuentas a comercios RAM 65,23,0,0.0%,1,4.3%,1,4.3%,2,21,8.7%
T160057,Cambiar cuentas a comercios Tradicional,46,0,0.0%,1,2.2%,3,6.5%,4,42,8.7%
T160057,Habilitar o cambiar cuentas a comercios,26,0,0.0%,0,0.0%,0,0.0%,0,26,0.0%
T160057,Habilitar o cambiar cuentas a comercios EAB,34,0,0.0%,0,0.0%,0,0.0%,0,34,0.0%
T160057,Procesar cambios de comisión a comercios RAM 65,19,0,0.0%,0,0.0%,1,5.3%,1,18,5.3%
T160057,Procesar cambios de comisión a comercios Tradicionales,47,0,0.0%,0,0.0%,3,6.4%,3,44,6.4%
T160057,Procesar novedades Modelo Agregador,25,0,0.0%,0,0.0%,0,0.0%,0,25,0.0%
T160057,Procesar novedades a comercios,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
T160057,Procesar novedades a comercios Conexión Directa,23,0,0.0%,2,8.7%,3,13.0%,5,18,21.7%
T160057,Procesar novedades a comercios MULTIFRANQUICIAS REDEBAN,17,0,0.0%,0,0.0%,6,35.3%,6,11,35.3%
T160057,Procesar novedades a comercios VISA REDEBAN,17,0,0.0%,0,0.0%,6,35.3%,6,11,35.3%
T160057,Procesar novedades a comercios aceptación de Pagos,16,0,0.0%,0,0.0%,0,0.0%,0,16,0.0%
T160057,Procesar novedades a comercios institución 63,19,0,0.0%,2,10.5%,3,15.8%,5,14,26.3%
T160057,Procesar novedades de la red American Express,27,0,0.0%,0,0.0%,0,0.0%,0,27,0.0%
T160065,Afiliar Comercios Aceptación de pagos,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T160065,Afiliar Comercios a Aceptación de pagos,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T160065,Afiliar SubComercios Modelo Agregador,31,0,0.0%,0,0.0%,5,16.1%,5,26,16.1%
T160065,Afiliar comercios Conexión Directa,14,0,0.0%,0,0.0%,0,0.0%,0,14,0.0%
T160065,Afiliar comercios a Conexión Directa,10,0,0.0%,0,0.0%,0,0.0%,0,10,0.0%
T160065,Afiliar comercios a la red American Express,52,0,0.0%,0,0.0%,1,1.9%,1,51,1.9%
T160065,Afiliar comercios aceptación de pagos tradicional,71,0,0.0%,0,0.0%,3,4.2%,3,68,4.2%
T160065,Procesar vinculaciones a comercios aceptación de pagos tradicional,45,0,0.0%,0,0.0%,1,2.2%,1,44,2.2%
T160076,Contingencia 1 Realizar Pago Para Mercado de Capitales,57,0,0.0%,0,0.0%,8,14.0%,8,49,14.0%
T160076,Contingencia Autopista Davivienda,110,0,0.0%,0,0.0%,47,42.7%,47,63,42.7%
T160076,Contingencia PAB,11,0,0.0%,0,0.0%,3,27.3%,3,8,27.3%
T160076,Contingencia Realizar pago para Mercado de Capitales,27,0,0.0%,0,0.0%,9,33.3%,9,18,33.3%
T160076,Realizar Movimientos CIBEST,25,0,0.0%,0,0.0%,8,32.0%,8,17,32.0%
T160076,Realizar pago para Mercado de Capitales,58,0,0.0%,0,0.0%,7,12.1%,7,51,12.1%
T160076,Realizar pagos de derivados NDF e interbancarios,16,0,0.0%,0,0.0%,4,25.0%,4,12,25.0%
T160077,Complementar Operaciones de Tesoreria,16,0,0.0%,0,0.0%,1,6.2%,1,15,6.2%
T160077,Complementar Operaciones de Tesorería,17,0,0.0%,0,0.0%,3,17.6%,3,14,17.6%
T160077,Generar Papeletas (Valores),10,0,0.0%,0,0.0%,1,10.0%,1,9,10.0%
T160077,Modificar y Corregir Operaciones Bolsa (Valores),15,0,0.0%,0,0.0%,4,26.7%,4,11,26.7%
T160077,Procedimiento Contingente,5,0,0.0%,0,0.0%,3,60.0%,3,2,60.0%
T160080,Administrar Valoración de Portafolios y Tasas para Negociación,29,0,0.0%,0,0.0%,2,6.9%,2,27,6.9%
T160080,Cargar tasas para negociación,10,0,0.0%,0,0.0%,2,20.0%,2,8,20.0%
T160082,Validar Compensación de Operaciones de Tesorería,18,0,0.0%,0,0.0%,4,22.2%,4,14,22.2%
T160084,Administrar Derechos Patrimoniales,42,0,0.0%,0,0.0%,5,11.9%,5,37,11.9%
T160084,Procedimiento de Contingencia,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
T160085,"Contingencia, fecha actualización 2025-06-27",4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T160085,Procedimiento Contingente,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
T160085,Realizar Confirmación de Operaciones de Tesorería,20,0,0.0%,0,0.0%,5,25.0%,5,15,25.0%
T160085,Validar Operaciones de Tesorería,20,0,0.0%,0,0.0%,5,25.0%,5,15,25.0%
T160086,"Contingencia, fecha actualización 2025-07-28",41,0,0.0%,0,0.0%,0,0.0%,0,41,0.0%
T160086,Cumplir operaciones de tesorería por depósitos y por sistemas de pago y recaudo,21,0,0.0%,0,0.0%,1,4.8%,1,20,4.8%
T160086,Cumplir operaciones mercado de capitales,25,0,0.0%,0,0.0%,2,8.0%,2,23,8.0%
T160086,Ejecutar Contingencia,44,0,0.0%,0,0.0%,0,0.0%,0,44,0.0%
T160087,Atencion créditos de empleados,11,0,0.0%,0,0.0%,2,18.2%,2,9,18.2%
T160087,Atender Solicitudes Posventa Cartera Hipotecaria y Constructor,39,0,0.0%,1,2.6%,1,2.6%,2,37,5.1%
T160087,Atender solicitudes de Alivios Covid 19 - Circular 22,23,0,0.0%,0,0.0%,1,4.3%,1,22,4.3%
T160087,"Cambiar plan, plazo y modalidad de productos hipotecarios",11,0,0.0%,0,0.0%,1,9.1%,1,10,9.1%
T160087,Ejecutar mantenimientos de cartera hipotecaria,88,0,0.0%,1,1.1%,4,4.5%,5,83,5.7%
T160087,Generar certificados tributarios de retención en la fuente por la intranet,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T160087,Generar novedades al débito automático de crédito hipotecario,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
T160090,Procedimiento contingencia,13,0,0.0%,0,0.0%,2,15.4%,2,11,15.4%
T160090,Recibir abonos de cartera hipotecaria,66,0,0.0%,0,0.0%,7,10.6%,7,59,10.6%
T160090,Recibir abonos de cartera hipotecaria por sucursal,19,0,0.0%,0,0.0%,0,0.0%,0,19,0.0%
T160092,Generar y transmitir informes Solución Inmobiliaria,47,0,0.0%,0,0.0%,12,25.5%,12,35,25.5%
T160092,Generar y transmitir informes de cartera hipotecaria,33,0,0.0%,0,0.0%,1,3.0%,1,32,3.0%
T160099,Administrar Convenios Empresariales de Cartera,51,0,0.0%,0,0.0%,4,7.8%,4,47,7.8%
T160099,Administrar convenios empresariales de cartera,2,0,0.0%,0,0.0%,0,0.0%,0,2,0.0%
T160099,Enviar información y novedades a convenios,16,0,0.0%,0,0.0%,1,6.2%,1,15,6.2%
T160099,Extraer información últimas cuotas,3,0,0.0%,0,0.0%,0,0.0%,0,3,0.0%
T160099,Gestionar convenios,10,0,0.0%,0,0.0%,3,30.0%,3,7,30.0%
T160100,Administrar cartera activa y pasiva,12,0,0.0%,0,0.0%,0,0.0%,0,12,0.0%
T160100,Administrar servicios y asesorias Outsourcing,88,0,0.0%,1,1.1%,3,3.4%,4,84,4.5%
T160100,Gestionar Comisiones 4G Findeter,9,0,0.0%,0,0.0%,2,22.2%,2,7,22.2%
T160100,Gestionar Crédito PADA,11,0,0.0%,0,0.0%,1,9.1%,1,10,9.1%
T160100,Gestionar Informes y Solicitud de Firmas a las entidades,10,0,0.0%,0,0.0%,1,10.0%,1,9,10.0%
T160100,Gestionar cancelación y prepago parcial,11,0,0.0%,0,0.0%,1,9.1%,1,10,9.1%
T160100,Gestionar crédito Línea Bancoldex Aprogresar,27,0,0.0%,0,0.0%,1,3.7%,1,26,3.7%
T160100,Gestionar crédito capitalizable,12,0,0.0%,0,0.0%,0,0.0%,0,12,0.0%
T160100,Gestionar solicitud de modificación  de condiciones de crédito,20,0,0.0%,0,0.0%,1,5.0%,1,19,5.0%
T160100,Gestionar subsidios  Incentivos,20,0,0.0%,0,0.0%,0,0.0%,0,20,0.0%
T160100,Gestionar vencimientos y novedades,23,0,0.0%,0,0.0%,0,0.0%,0,23,0.0%
T160107,Analizar cheques devueltos cartera,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
T160107,Aplicar Pagos a la Cartera,29,0,0.0%,1,3.4%,4,13.8%,5,24,17.2%
T160107,Castigar Cartera ML,14,0,0.0%,0,0.0%,0,0.0%,0,14,0.0%
T160107,"Causar Capital, Intereses y Seguros",13,0,0.0%,0,0.0%,0,0.0%,0,13,0.0%
T160107,Generar informe de cartera,6,0,0.0%,0,0.0%,1,16.7%,1,5,16.7%
T160107,Generar paz y salvos de cartera consumo y empresarial,16,0,0.0%,0,0.0%,0,0.0%,0,16,0.0%
T160107,Gestionar CXC,24,0,0.0%,0,0.0%,0,0.0%,0,24,0.0%
T160107,Gestionar Rechazos y Generar Información,10,0,0.0%,0,0.0%,0,0.0%,0,10,0.0%
T160107,Liquidar y Pagar Cartera ,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
T160107,Recibir Abonos de Cartera a través de sucursal física,10,0,0.0%,0,0.0%,0,0.0%,0,10,0.0%
T160107,Recibir Abonos de Credipago,33,0,0.0%,0,0.0%,0,0.0%,0,33,0.0%
T160107,Recibir Pago por Canal  Telefónico y Físico,21,0,0.0%,0,0.0%,0,0.0%,0,21,0.0%
T160107,Recibir Pagos de Cartera por Proceso Automático,26,0,0.0%,0,0.0%,0,0.0%,0,26,0.0%
T160107,Recibir abonos de cartera,36,0,0.0%,0,0.0%,1,2.8%,1,35,2.8%
T160107,Recibir abonos de cartera por canal virtual,15,0,0.0%,0,0.0%,0,0.0%,0,15,0.0%
T160107,Recibir abonos de cartera por procesos automáticos,24,0,0.0%,0,0.0%,0,0.0%,0,24,0.0%
T160107,Recibir y Pagar Otras Comisiones,16,0,0.0%,0,0.0%,1,6.2%,1,15,6.2%
T160108,Atender eventos atípicos,12,0,0.0%,0,0.0%,1,8.3%,1,11,8.3%
T160108,Cambiar de Cuenta Débito Automático de Cartera,11,0,0.0%,0,0.0%,1,9.1%,1,10,9.1%
T160108,Controlar manteniminentos de Cartera,12,0,0.0%,0,0.0%,0,0.0%,0,12,0.0%
T160108,Ejecutar Mantenimientos de Cartera,32,0,0.0%,0,0.0%,3,9.4%,3,29,9.4%
T160108,Ejecutar mantenimientos de ciclos de facturación,7,0,0.0%,0,0.0%,0,0.0%,0,7,0.0%
T160108,Extraer información últimas cuotas,3,0,0.0%,0,0.0%,0,0.0%,0,3,0.0%
T160108,Gestionar Novedades de Cartera de Financiación,26,0,0.0%,0,0.0%,3,11.5%,3,23,11.5%
T160108,Monitorear la Cartera Creada,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T160108,Realizar Reliquidaciones de Préstamos,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
T160108,Realizar monitoreo a la cartera,4,0,0.0%,0,0.0%,1,25.0%,1,3,25.0%
T160109,Administrar MAP,8,0,0.0%,0,0.0%,1,12.5%,1,7,12.5%
T160109,Administrar Parámetros del Aplicativo en Cartera,26,0,0.0%,1,3.8%,2,7.7%,3,23,11.5%
T160112,Constituir Garantía FNG y FAG,99,1,1.0%,1,1.0%,26,26.3%,28,71,28.3%
T160112,Constituir Garantía Hipotecaria Comercial,41,0,0.0%,0,0.0%,3,7.3%,3,38,7.3%
T160112,Constituir Garantías Covenant,24,0,0.0%,1,4.2%,3,12.5%,4,20,16.7%
T160112,Constituir Garantías FNG y FAG,53,1,1.9%,1,1.9%,4,7.5%,6,47,11.3%
T160112,Constituir Garantías Prendas Especiales,34,0,0.0%,0,0.0%,5,14.7%,5,29,14.7%
T160112,Constituir Garantías Stand By,9,0,0.0%,0,0.0%,2,22.2%,2,7,22.2%
T160112,Constituir Garantías Vehículos Pensiones CDT´s,57,0,0.0%,1,1.8%,8,14.0%,9,48,15.8%
T160112,Constituir garantía no hipotecaria,29,0,0.0%,0,0.0%,3,10.3%,3,26,10.3%
T160117,Administrar el pago de facturas y cobros para las Redes y Franquicias,28,0,0.0%,0,0.0%,8,28.6%,8,20,28.6%
T160129,Generar provisiones,123,0,0.0%,0,0.0%,0,0.0%,0,123,0.0%
T160129,Generar provisiones para la cartera comercial y consumo,14,0,0.0%,0,0.0%,0,0.0%,0,14,0.0%
T160129,Generar provisiones vivienda y microcrédito,7,0,0.0%,0,0.0%,0,0.0%,0,7,0.0%
T160141,Administrar inventario -solicitudes de Colectivos,25,0,0.0%,0,0.0%,2,8.0%,2,23,8.0%
T160141,Custodiar productos debito preexpedidos,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
T160141,Entregar tarjetas y claves débito,30,0,0.0%,0,0.0%,1,3.3%,1,29,3.3%
T160141,Realzar Tarjetas débito,15,0,0.0%,0,0.0%,0,0.0%,0,15,0.0%
T160141,Reexpedición automática de tarjeta débito por fraude,7,0,0.0%,0,0.0%,0,0.0%,0,7,0.0%
T160146,Procedimiento Contingente,11,0,0.0%,0,0.0%,2,18.2%,2,9,18.2%
T160146,Procedimiento contingente,21,0,0.0%,0,0.0%,4,19.0%,4,17,19.0%
T160146,Solicitar desembolso,58,0,0.0%,0,0.0%,13,22.4%,13,45,22.4%
T160147,"Contingencia, fecha actualización 2025-07-08",19,0,0.0%,0,0.0%,2,10.5%,2,17,10.5%
T160147,Procedimiento Contingente,19,0,0.0%,0,0.0%,1,5.3%,1,18,5.3%
T160147,Realizar Desembolso Canal Digital,12,0,0.0%,0,0.0%,0,0.0%,0,12,0.0%
T160147,Realizar Desembolso de Crédito Comercial y Consumo,71,0,0.0%,0,0.0%,8,11.3%,8,63,11.3%
T160148,Desembolsar Cartera a través de Líneas Virtuales,40,0,0.0%,0,0.0%,1,2.5%,1,39,2.5%
T160150,Realizar solicitud Bancoldex,31,0,0.0%,0,0.0%,8,25.8%,8,23,25.8%
T160150,Realizar solicitud Finagro,20,0,0.0%,0,0.0%,4,20.0%,4,16,20.0%
T160150,Realizar solicitud Findeter,35,0,0.0%,0,0.0%,10,28.6%,10,25,28.6%
T160150,Solicitar desembolso crédito de redescuento,63,0,0.0%,0,0.0%,10,15.9%,10,53,15.9%
T160155,Gestionar contraprestaciones de aliados Sufi,25,0,0.0%,0,0.0%,1,4.0%,1,24,4.0%
T160155,Gestionar link de pago aliados,7,0,0.0%,0,0.0%,0,0.0%,0,7,0.0%
T160155,Procesar comisiones a vendedores Sufi,14,0,0.0%,0,0.0%,1,7.1%,1,13,7.1%
T160155,Procesar contraprestación de comercios y vendedores,25,0,0.0%,0,0.0%,1,4.0%,1,24,4.0%
T160157,Realizar Rastreo Manual,6,0,0.0%,0,0.0%,0,0.0%,0,6,0.0%
T160157,Realizar cobros de cuota de manejo de tarjetas débito,22,0,0.0%,0,0.0%,2,9.1%,2,20,9.1%
T160157,Realizar cobros de cuota de manejo de tarjetas débito y planes de suscripción,16,0,0.0%,0,0.0%,0,0.0%,0,16,0.0%
T160157,Realizar controles para cuota de manejo,11,0,0.0%,0,0.0%,1,9.1%,1,10,9.1%
T160157,Reintentar Débito,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
T160158,Generar Informe Mastercard,2,0,0.0%,0,0.0%,0,0.0%,0,2,0.0%
T160158,Grabación Novedades tarjeta débito,13,0,0.0%,0,0.0%,0,0.0%,0,13,0.0%
T160158,Procesar novedad cancelación masiva,9,0,0.0%,0,0.0%,2,22.2%,2,7,22.2%
T160158,Procesar novedades por autogestión,33,0,0.0%,0,0.0%,5,15.2%,5,28,15.2%
T160158,Realizar Novedades Tarjeta Debito,23,0,0.0%,0,0.0%,0,0.0%,0,23,0.0%
T160158,Realizar novedades administrativas tarjeta debito,24,0,0.0%,0,0.0%,0,0.0%,0,24,0.0%
T160159,Administrar productos prepago,35,0,0.0%,0,0.0%,12,34.3%,12,23,34.3%
T160159,Gestionar entrega del producto,37,0,0.0%,0,0.0%,15,40.5%,15,22,40.5%
T160159,Gestionar novedades prepago,22,0,0.0%,1,4.5%,8,36.4%,9,13,40.9%
T160159,Personalizar y entregar Tarjetas por segunda vez,6,0,0.0%,0,0.0%,2,33.3%,2,4,33.3%
T160161,Emisión masiva MD,13,0,0.0%,0,0.0%,1,7.7%,1,12,7.7%
T160161,Solicitar Tarjeta Débito Preexpedida,23,0,0.0%,0,0.0%,0,0.0%,0,23,0.0%
T160161,Solicitar Tarjeta Débito Preferencial,11,0,0.0%,0,0.0%,0,0.0%,0,11,0.0%
T160161,Solicitar Tarjeta débito Virtual,29,0,0.0%,0,0.0%,1,3.4%,1,28,3.4%
T160161,Solicitar tarjeta débito,34,0,0.0%,0,0.0%,3,8.8%,3,31,8.8%
T160212,Administrar la plataforma Swift,18,0,0.0%,0,0.0%,1,5.6%,1,17,5.6%
T160212,Ejecutar contingencia - Giros y Remesas en Sucursales,11,0,0.0%,0,0.0%,0,0.0%,0,11,0.0%
T160212,Gestionar usuarios Driver,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T160212,Monitorear Driver - GPI,8,0,0.0%,0,0.0%,4,50.0%,4,4,50.0%
T160212,Pagar Giros y Remesas en Sucursales ante falla de CIB,11,0,0.0%,0,0.0%,0,0.0%,0,11,0.0%
T160212,Plan de choque devolución de giros y remesas internacionales,7,0,0.0%,0,0.0%,0,0.0%,0,7,0.0%
T160212,"Recibir Insumos Electrónicos (mensajes SWIFT, TAC, información, etc.) del Exterior",30,0,0.0%,0,0.0%,0,0.0%,0,30,0.0%
T160212,Recibir insumos electrónicos mensajes SWIFT e información del exterior,32,0,0.0%,0,0.0%,0,0.0%,0,32,0.0%
T160212,Recibir remesas familiares,16,0,0.0%,0,0.0%,0,0.0%,0,16,0.0%
T160218,Iniciar Plazo de la Operacion,12,0,0.0%,0,0.0%,0,0.0%,0,12,0.0%
T160218,Pagar Obligaciones Leasing,32,0,0.0%,0,0.0%,0,0.0%,0,32,0.0%
T160218,Realizar Contingencia Apertura y Desembolso,3,0,0.0%,0,0.0%,0,0.0%,0,3,0.0%
T160218,Realizar desembolso de crédito hipotecario,58,0,0.0%,1,1.7%,0,0.0%,1,57,1.7%
T160220,Abrir productos bancaseguros,12,0,0.0%,0,0.0%,1,8.3%,1,11,8.3%
T160220,Abrir productos en Sucursal Física,82,0,0.0%,0,0.0%,10,12.2%,10,72,12.2%
T160220,Abrir productos en Telemercadeo  (TMK),40,0,0.0%,0,0.0%,10,25.0%,10,30,25.0%
T160220,Abrir productos por los Canales Alternos,25,0,0.0%,0,0.0%,5,20.0%,5,20,20.0%
T160220,Abrir productos por modelo Remota Cardif,51,0,0.0%,0,0.0%,10,19.6%,10,41,19.6%
T160220,Abrir productos por modelo Remota Sura,39,0,0.0%,0,0.0%,7,17.9%,7,32,17.9%
T160220,Tomar seguros en Canales Digitales,36,0,0.0%,0,0.0%,11,30.6%,11,25,30.6%
T160228,Procedimiento Contingente,8,0,0.0%,0,0.0%,5,62.5%,5,3,62.5%
T160228,Transportar y consolidar efectivo,28,0,0.0%,0,0.0%,0,0.0%,0,28,0.0%
T160246,Cancelar Asistencias,1,0,0.0%,0,0.0%,0,0.0%,0,1,0.0%
T160246,Cancelar Productos Bancaseguros,6,0,0.0%,0,0.0%,0,0.0%,0,6,0.0%
T160246,Cancelar Seguros Cardif,3,0,0.0%,0,0.0%,1,33.3%,1,2,33.3%
T160246,Cancelar Seguros Sura,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
T160264,Administrar novedades administrativas de sucursales,21,0,0.0%,0,0.0%,4,19.0%,4,17,19.0%
T160264,Aplicar novedades Horarios,12,0,0.0%,1,8.3%,0,0.0%,1,11,8.3%
T160264,Aplicar novedades Modelamiento,13,0,0.0%,0,0.0%,1,7.7%,1,12,7.7%
T160264,Aplicar novedades cámara de comercio,32,0,0.0%,0,0.0%,7,21.9%,7,25,21.9%
T160264,Aplicar novedades de Horarios,12,0,0.0%,1,8.3%,0,0.0%,1,11,8.3%
T160264,Aprobar conexión a Redes Externas,13,0,0.0%,0,0.0%,2,15.4%,2,11,15.4%
T160264,Realizar Renovación Registro Único de Proponentes-RUP,13,0,0.0%,0,0.0%,1,7.7%,1,12,7.7%
T160265,Actualizar indicadores y formatos legales,19,0,0.0%,0,0.0%,0,0.0%,0,19,0.0%
T160265,Administrar Modelo Equipo Comercial Remoto,10,0,0.0%,0,0.0%,0,0.0%,0,10,0.0%
T160265,Administrar Q - Flow,7,0,0.0%,0,0.0%,0,0.0%,0,7,0.0%
T160265,Administrar el Servicio en Sucursales,13,0,0.0%,0,0.0%,0,0.0%,0,13,0.0%
T160265,Administrar la atencion a personas con Discapacidad auditiva,3,0,0.0%,0,0.0%,0,0.0%,0,3,0.0%
T160265,Administrar la autenticación de clientes,16,0,0.0%,0,0.0%,2,12.5%,2,14,12.5%
T160265,Contingencia apertura y cierre de sucursal en Golf SB,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
T160265,Coordinar estrategia de fin de año,14,0,0.0%,0,0.0%,0,0.0%,0,14,0.0%
T160265,Definir y probar Procesos de contingencia en sucursal,37,0,0.0%,0,0.0%,0,0.0%,0,37,0.0%
T160265,Ejecutar Modelo productividad Caja,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T160265,Gestionar Cobros por uso de la Red,6,0,0.0%,0,0.0%,1,16.7%,1,5,16.7%
