codigo_proceso,t2.procedimiento,t2.actividad,Código,Nombre de la Actividad
PAN040102,Crear Cuenta y Autorizar desembolsos,m: gestión de servicios corporativos p: custodiar documentos pagaré panamá ,CP1109,Custodiar documento
PAN040102,Crear Cuenta y Autorizar desembolsos,ajustar valor [act016] ,ACT016,Ajustar Valor
PAN040102,Crear Cuenta y Autorizar desembolsos,desembolsar crédito [act123] ,ACT123,Desembolsar CrÃ©dito
PAN040102,Crear Cuenta y Autorizar desembolsos,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
PAN040102,Crear Cuenta y Autorizar desembolsos,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
PAN040102,Crear Cuenta y Autorizar desembolsos,implementar solución [act204] ,ACT204,Implementar SoluciÃ³n
PAN040102,Crear Cuenta y Autorizar desembolsos,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
PAN040102,Crear Cuenta y Autorizar desembolsos,solicitar autorización [act311] ,ACT311,Solicitar AutorizaciÃ³n
PAN040102,Procedimiento Contingente,notificar la ofex para gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
PAN040102,Procedimiento Contingente,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
PAN040102,Procedimiento Contingente,activar contigencia [act363] ,ACT363,Activar Contingencia
PAN040102,Realizar cálculos Revolvente,ajustar valor [act016] ,ACT016,Ajustar Valor
PAN040102,Realizar cálculos Revolvente,calcular intereses [act056] ,ACT056,Calcular InterÃ©s
PAN040102,Realizar cálculos Revolvente,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
PAN040102,Realizar cálculos Revolvente,consolidar información [act098] ,ACT098,Consolidar InformaciÃ³n
PAN040102,Realizar cálculos Revolvente,descargar reporte [act122] ,ACT122,Descargar Reporte
PAN040102,Realizar cálculos Revolvente,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
PAN040102,Realizar cálculos Revolvente,recibir información [act266] ,ACT266,Recibir InformaciÃ³n
PAN040103,Abrir Productos Pasivos,enviar comunicación/ notificación [cmc01] ,CMC01,Enviar ComunicaciÃ³n NotificaciÃ³n
PAN040103,Abrir Productos Pasivos,radicar solicitud ,CMT79,Radicar Solicitud
PAN040103,Abrir Productos Pasivos,m: gestión de servicios administrativos p: custodiar documentos pagaré panamá ,CP1109,Custodiar documento
PAN040103,Abrir Productos Pasivos,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
PAN040103,Abrir Productos Pasivos,registrar evidencia [act275] ,ACT275,Registrar Evidencia
PAN040103,Abrir Productos Pasivos,ejecutar ajuste contable [act372] ,ACT372,Ejecutar Ajuste Contable
PAN040103,Administrar Listas de control,c001: validar resultado ,ACT347,Validar Resultado
PAN040107,Realizar Apertura Tarjeta Débito,c012: validar firmas conjuntas ,ACT335,Validar Firma
PAN040107,Realizar Apertura tarjeta Crédito,c008 validar solicitud digital de tarjeta ,ACT348,Validar Solicitud
PAN040107,Realizar aperturas de tarjeta de crédito,gestionar y custodiar documentos ,CP1109,Custodiar documento
PAN040107,Realizar aperturas de tarjeta de crédito,c008 validar solicitud digital de tarjeta ,ACT348,Validar Solicitud
PAN040212,Solicitar Financiación y Apertura Cartera Pasiva,m: gestión de servicios corporativos p: custodiar documentos pagaré panamá ,CP1109,Custodiar documento
PAN040305,Contingencia,c008: consultar listas restrictivas [cmf16] ,CMF16,Consultar Listas Restrictivas
PAN040305,Contingencia,modificar condición de funcionamiento del producto [cp0055] ,CP0055,Consolidar InformaciÃ³n del caso.
PAN040305,Contingencia,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
PAN040305,Contingencia,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
PAN040305,Contingencia,activar contingencia [act363] ,ACT363,Activar Contingencia
PAN040305,Contingencia,restablecer operación normal [act375] ,ACT375,Restablecer OperaciÃ³n Normal
PAN040305,"Contingencia, fecha actualización 2025-04-30",activar contingencia ,ACT363,Activar Contingencia
PAN040305,Ingresar Novedades sobre Depósitos,enviar comunicación notificación [cmc01] ,CMC01,Enviar ComunicaciÃ³n NotificaciÃ³n
PAN040305,Ingresar Novedades sobre Depósitos,c008: consultar listas restrictivas [cmf16] ,CMF16,Consultar Listas Restrictivas
PAN040305,Ingresar Novedades sobre Depósitos,modificar condición de funcionamiento del producto [cp0055] ,CP0055,Consolidar InformaciÃ³n del caso.
PAN040305,Ingresar Novedades sobre Depósitos,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
PAN040305,Ingresar Novedades sobre Depósitos,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
PAN040305,Ingresar Novedades sobre Depósitos,gestionar inconsistencias [act191 ] ,ACT191,Gestionar Inconsistencias
PAN040305,Ingresar Novedades sobre Depósitos,procesar pago [act237] ,ACT237,Procesar Pago
PAN040305,Ingresar Novedades sobre Depósitos,recibir información [act266] ,ACT266,Recibir InformaciÃ³n
PAN040305,Ingresar Novedades sobre Depósitos,registrar evidencia [act275] ,ACT275,Registrar Evidencia
PAN040305,Procedimiento contingente,activar contingencia ,ACT363,Activar Contingencia
PAN040310,Atender novedades para canales digitales,c003:validar firma ,ACT335,Validar Firma
PAN040310,Atender novedades para canales digitales,c002:validar solicitud ,ACT348,Validar Solicitud
PAN040314,Gestionar novedades de Medios de Pago,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
PAN040314,Gestionar novedades de Medios de Pago,m: cumplimiento de los servicios p: procesar pagos y ajustes de tarjeta de crédito ,ACT237,Procesar Pago
PAN040314,Gestionar novedades de tarjeta de crédito,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
PAN040314,Gestionar novedades de tarjeta de crédito,m: cumplimiento de los servicios p: procesar pagos y ajustes de tarjeta de crédito ,ACT237,Procesar Pago
PAN040705,Legalizar movimiento de Tarjeta de Crédito,gestionar inconsistencias en cuentas ,ACT191,Gestionar Inconsistencias
PAN040705,Procesar Compensación de Medios de Pago,gestionar inconsistencias en cuentas ,ACT191,Gestionar Inconsistencias
PAN040705,Procesar Compensación de Medios de Pago,m: soporte organizacional p: procesar pago de factura de proveedores ,ACT237,Procesar Pago
PAN050305,Gestionar experiencia y requerimientos de clientes,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
PAN050305,Gestionar experiencia y requerimientos de clientes,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
PAN050305,Gestionar experiencia y requerimientos de clientes,identificar inconsistencia [act202] ,ACT202,Identificar Inconsistencia
PAN050305,Gestionar experiencia y requerimientos de clientes,recibir y validar solicitud ,ACT348,Validar Solicitud
PAN050305,Gestionar experiencia y requerimientos de clientes,validar solicitud [act348] ,ACT348,Validar Solicitud
PAN050305,Gestionar requerimientos de clientes,escalar caso [cmp75] ,CMP75,Asignar Solicitud
PAN050305,Gestionar requerimientos de clientes,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
PAN050305,Gestionar requerimientos de clientes,identificar inconsistencia [act202] ,ACT202,Identificar Inconsistencia
PAN050305,Gestionar requerimientos de clientes,validar documentación [act331] ,ACT331,Validar Documento
PAN050305,Gestionar requerimientos de clientes,validar solicitud [act348] ,ACT348,Validar Solicitud
PAN050305,Gestionar requerimientos de clientes,recibir y validar solicitud ,ACT348,Validar Solicitud
PAN050305,Gestionar solicitudes y requerimientos de clientes,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
PAN050305,Gestionar solicitudes y requerimientos de clientes,identificar inconsistencia [act202] ,ACT202,Identificar Inconsistencia
PAN050305,Gestionar solicitudes y requerimientos de clientes,validar solicitud [act348] ,ACT348,Validar Solicitud
PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,finalizar operación [act086] ,ACT086,Finalizar OperaciÃ³n
PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,informar resultado [act209] ,ACT209,Informar Resultado
PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,cargar información [act266] ,ACT266,Recibir InformaciÃ³n
PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,validar solicitud [act348] ,ACT348,Validar Solicitud
PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c007:validar solicitud de vinculación ,ACT348,Validar Solicitud
PAN050802,Vinculación Centralizada,radicar solicitud de vinculación ,CMT79,Radicar Solicitud
PAN050802,Vinculación Centralizada,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
PAN050802,Vinculación Centralizada,finalizar operación [act086] ,ACT086,Finalizar OperaciÃ³n
PAN050802,Vinculación Centralizada,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
PAN050802,Vinculación Centralizada,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
PAN050802,Vinculación Centralizada,recibir información[act266] ,ACT266,Recibir InformaciÃ³n
PAN050802,Vinculación Centralizada,c002: validar documentos soporte ,ACT331,Validar Documento
PAN050802,Vinculación Centralizada,cerrar solicitud ,ACT378,Cerrar Solicitud
PAN050802,Vinculación gestionada por comercial,radicar solicitud validación documental ,CMT79,Radicar Solicitud
PAN050802,Vinculación gestionada por comercial,finalizar operación [act086] ,ACT086,Finalizar OperaciÃ³n
PAN050802,Vinculación gestionada por comercial,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
PAN050802,Vinculación gestionada por comercial,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
PAN050802,Vinculación gestionada por comercial,recibir información[act266] ,ACT266,Recibir InformaciÃ³n
PAN050802,Vinculación gestionada por comercial,recibir información [act266] ,ACT266,Recibir InformaciÃ³n
PAN050802,Vinculación gestionada por comercial,c002: validar documentos soporte ,ACT331,Validar Documento
PAN050802,Vinculación gestionada por comercial,cerrar solicitud ,ACT378,Cerrar Solicitud
PAN050803,Autorizar Actividad Callback,informar motivo [act209] ,ACT209,Informar Resultado
PAN050803,Autorizar Actividad Callback,validar resultado [act347] ,ACT347,Validar Resultado
PAN050803,Autorizar Actividad Callback,validar solicitud [act348] ,ACT348,Validar Solicitud
PAN050803,Contingencia,enviar comunicación/ notificación [cmc01] ,CMC01,Enviar ComunicaciÃ³n NotificaciÃ³n
PAN050803,Contingencia,identificar inconsistencia [act204] ,ACT204,Implementar SoluciÃ³n
PAN050803,Contingencia,informar motivo [act209] ,ACT209,Informar Resultado
PAN050803,Contingencia,actualizar registro [act266] ,ACT266,Recibir InformaciÃ³n
PAN050803,Contingencia,validar solicitud [act348] ,ACT348,Validar Solicitud
PAN050803,Contingencia,[act363] activar contingencia ,ACT363,Activar Contingencia
PAN050803,"Contingencia, Fecha de actualización 2026-01-22",enviar comunicación/ notificación [cmc01] ,CMC01,Enviar ComunicaciÃ³n NotificaciÃ³n
PAN050803,"Contingencia, Fecha de actualización 2026-01-22",identificar inconsistencia [act204] ,ACT204,Implementar SoluciÃ³n
PAN050803,"Contingencia, Fecha de actualización 2026-01-22",informar motivo [act209] ,ACT209,Informar Resultado
PAN050803,"Contingencia, Fecha de actualización 2026-01-22",actualizar registro [act266] ,ACT266,Recibir InformaciÃ³n
PAN050803,"Contingencia, Fecha de actualización 2026-01-22",validar solicitud [act348] ,ACT348,Validar Solicitud
PAN050803,"Contingencia, Fecha de actualización 2026-01-22",[act363] activar contingencia ,ACT363,Activar Contingencia
PAN050803,Gestionar Novedades de clientes Filiales,enviar información[act156] ,ACT156,Enviar InformaciÃ³n
PAN050803,Gestionar Novedades de clientes Filiales,gestionar inconsistencias[act191] ,ACT191,Gestionar Inconsistencias
PAN050803,Gestionar Novedades de clientes Filiales,informar resultado[act209] ,ACT209,Informar Resultado
PAN050803,Gestionar Novedades de clientes Filiales,recibir información [act266] ,ACT266,Recibir InformaciÃ³n
PAN050803,Gestionar Novedades de clientes Filiales del Exterior y Sucursal,asignar responsable [act039] ,ACT039,Asignar Responsable
PAN050803,Gestionar Novedades de clientes Filiales del Exterior y Sucursal,enviar información[act156] ,ACT156,Enviar InformaciÃ³n
PAN050803,Gestionar Novedades de clientes Filiales del Exterior y Sucursal,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
PAN050803,Gestionar Novedades de clientes Filiales del Exterior y Sucursal,gestionar inconsistencias[act191] ,ACT191,Gestionar Inconsistencias
PAN050803,Gestionar Novedades de clientes Filiales del Exterior y Sucursal,identificar inconsistencia [act204] ,ACT204,Implementar SoluciÃ³n
PAN050803,Gestionar Novedades de clientes Filiales del Exterior y Sucursal,informar resultado[act209] ,ACT209,Informar Resultado
PAN050803,Gestionar Novedades de clientes Filiales del Exterior y Sucursal,informar motivo [act209] ,ACT209,Informar Resultado
PAN050803,Gestionar Novedades de clientes Filiales del Exterior y Sucursal,recibir información [act266] ,ACT266,Recibir InformaciÃ³n
PAN050803,Gestionar Novedades de clientes Filiales del Exterior y Sucursal,actualizar registro [act266] ,ACT266,Recibir InformaciÃ³n
PAN050803,Gestionar Novedades de clientes Filiales del Exterior y Sucursal,validar solicitud [act348] ,ACT348,Validar Solicitud
PAN080001,Administrar programas de lealtad,m: soporte organizacional p: procesar pago de factura de proveedores ,ACT237,Procesar Pago
T050301,Recibir requerimiento de Clientes,radicar solicitud (act246) ,CMT79,Radicar Solicitud
T050301,Recibir requerimiento de Clientes,c004:gestionar alertas de derechos de petición ,CP0191,Gestionar alertas
T050301,Recibir requerimiento de Clientes,actualizar registro [act011] ,ACT011,Actualizar Registro
T050301,Recibir requerimiento de Clientes,asignar responsable [act039] ,ACT039,Asignar Responsable
T050301,Recibir requerimiento de Clientes,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T050301,Recibir requerimiento de Clientes,solicitar información (act318) ,ACT318,Solicitar InformaciÃ³n
T050301,Recibir requerimiento de clientes,radicar solicitud (act246) ,CMT79,Radicar Solicitud
T050301,Recibir requerimiento de clientes,c004:gestionar alertas de derechos de petición ,CP0191,Gestionar alertas
T050301,Recibir requerimiento de clientes,actualizar registro [act011] ,ACT011,Actualizar Registro
T050301,Recibir requerimiento de clientes,asignar responsable [act039] ,ACT039,Asignar Responsable
T050301,Recibir requerimiento de clientes,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T050301,Recibir requerimiento de clientes,recibir información (act266) ,ACT266,Recibir InformaciÃ³n
T050301,Recibir requerimientos Entes Legales,c004:gestionar alertas de derechos de petición ,CP0191,Gestionar alertas
T050302,Gestionar Derechos de Petición,enviar comunicación/notificación [cmc01] ,CMC01,Enviar ComunicaciÃ³n NotificaciÃ³n
T050302,Gestionar Derechos de Petición,validar condiciones [act327] ,ACT327,Validar CondiciÃ³n
T050302,Gestionar Requerimiento de Clientes,radicar solicitud (act246-01) ,CMT79,Radicar Solicitud
T050302,Gestionar Requerimiento de Clientes,identificar inconsistencia [act202] ,ACT202,Identificar Inconsistencia
T050302,Gestionar Requerimiento de Clientes,informar resultado (act209) ,ACT209,Informar Resultado
T050302,Gestionar Requerimiento de Clientes,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T050302,Gestionar Requerimiento de Clientes,registrar ajuste (act273) ,ACT273,Registrar Ajuste
T050302,Gestionar Requerimiento de Clientes,reversar transacción (act290) ,ACT290,Reversar TransacciÃ³n
T050302,Gestionar Requerimiento de Clientes,solicitar información [act318] ,ACT318,Solicitar InformaciÃ³n
T050302,Gestionar Requerimiento de Clientes,c017: validar respuesta del tercer nivel ,ACT345,Validar Respuesta
T050302,Gestionar Requerimiento de Clientes,c001: validar respuesta del área de apoyo especializada ,ACT345,Validar Respuesta
T050302,Gestionar Requerimiento de Clientes,ejecutar ajuste contable (act372) ,ACT372,Ejecutar Ajuste Contable
T050302,Realizar Abono Temporal yo Definitivo,escalar caso [cmp75] ,CMP75,Asignar Solicitud
T050302,Realizar Abono Temporal yo Definitivo,c007: aprobar solicitud de ajuste económico ,CMP77,Aprobar Solicitud
T050302,Realizar Abono Temporal yo Definitivo,c010 : aprobar solicitud de ajuste económico aprobacion de abono definitivo ,CMP77,Aprobar Solicitud
T050302,Realizar Abono Temporal yo Definitivo,ajustar valor [act016] ,ACT016,Ajustar Valor
T050302,Realizar Abono Temporal yo Definitivo,identificar inconsistencia [act202] ,ACT202,Identificar Inconsistencia
T050302,Realizar Abono Temporal yo Definitivo,informar resultado [act209] ,ACT209,Informar Resultado
T050302,Realizar Abono Temporal yo Definitivo,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T050302,Realizar Abono Temporal yo Definitivo,solicitar autorización [act311] ,ACT311,Solicitar AutorizaciÃ³n
T050302,Realizar Abono Temporal yo Definitivo,validar condiciones [act327] ,ACT327,Validar CondiciÃ³n
T050303,Responder Requerimiento de Clientes,enviar información (act156) ,ACT156,Enviar InformaciÃ³n
T050303,Responder Requerimiento de Clientes,gestionar alerta (act181) ,ACT181,Atender Alerta
T050303,Responder Requerimiento de clientes,diligenciar formulario [act132] ,ACT132,Diligenciar Formulario
T050303,Responder Requerimiento de clientes,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T050303,Responder Requerimiento de clientes,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T050303,Responder Requerimiento de clientes,identificar inconsistencia [act202] ,ACT202,Identificar Inconsistencia
T050303,Responder Requerimiento de clientes,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T050402,Gestionar requerimientos legal desembargo sobre clientes,c011: validar respuesta ,ACT345,Validar Respuesta
T050402,Gestionar requerimientos legales de embargos y desembargos sobre clientes,cmp 546 generar documento ,CP1160,Generar documento
T050402,Gestionar requerimientos legales de embargos y desembargos sobre clientes,c011: validar respuesta ,ACT345,Validar Respuesta
T050402,Gestionar solicitudes,cmp 546 generar documento ,CP1160,Generar documento
T050807,Gestionar clientes,validar información [act341] ,ACT341,Validar InformaciÃ³n
T050807,Habilitar comerciales mesa de dinero,asignar responsable [act039] ,ACT039,Asignar Responsable
T050807,Habilitar comerciales mesa de dinero,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T050807,Negociar Operaciones con Clientes MK,finalizar operación [act086] ,ACT086,Finalizar OperaciÃ³n
T051005,Crear o Vincular Potenciales Clientes,radicar solicitud de vinculación ,CMT79,Radicar Solicitud
T051005,Crear o Vincular Potenciales Clientes,radicar solicitud ,CMT79,Radicar Solicitud
T051005,Crear o Vincular Potenciales Clientes,radicar solicitud centralizada ,CMT79,Radicar Solicitud
T051005,Crear o Vincular Potenciales Clientes,custodiar documentos en repositorio oficial ,CP1109,Custodiar documento
T051005,Crear o Vincular Potenciales Clientes,cmp59: autenticar cliente-usuario en sucursal ,ACT045,Autenticar Cliente
T051005,Crear o Vincular Potenciales Clientes,autenticar cliente [act045] ,ACT045,Autenticar Cliente
T051005,Crear o Vincular Potenciales Clientes,autenticar cliente ,ACT045,Autenticar Cliente
T051005,Crear o Vincular Potenciales Clientes,finalizar operación [act086] ,ACT086,Finalizar OperaciÃ³n
T051005,Crear o Vincular Potenciales Clientes,diligenciar formulario [act132] ,ACT132,Diligenciar Formulario
T051005,Crear o Vincular Potenciales Clientes,diligenciar formulario ,ACT132,Diligenciar Formulario
T051005,Crear o Vincular Potenciales Clientes,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T051005,Crear o Vincular Potenciales Clientes,informar resultado ,ACT209,Informar Resultado
T051005,Crear o Vincular Potenciales Clientes,informar resultado [act209] ,ACT209,Informar Resultado
T051005,Crear o Vincular Potenciales Clientes,publicar información [act243] ,ACT243,Publicar InformaciÃ³n
T051005,Crear o Vincular Potenciales Clientes,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T051005,Crear o Vincular Potenciales Clientes,rechazar solicitud ,ACT264,Rechazar Solicitud
T051005,Procedimiento Contingente,enviar comunicación/notificación [cmc01] ,CMC01,Enviar ComunicaciÃ³n NotificaciÃ³n
T051005,Procedimiento Contingente,registrar evento [act274] ,ACT274,Registrar Evento
T051005,Procedimiento Contingente,registrar evento ,ACT274,Registrar Evento
T051008,Conformar Grupos Cliente,actualizar registro [act011] ,ACT011,Actualizar Registro
T051008,Conformar Grupos Cliente,enviar infromación [act156] ,ACT156,Enviar InformaciÃ³n
T051009,Actualizar Información de Clientes,radicar solicitud de aplicación de carga ,CMT79,Radicar Solicitud
T051009,Actualizar Información de Clientes,radicar solicitud ,CMT79,Radicar Solicitud
T051009,Actualizar Información de Clientes,cmp59: autenticar cliente-usuario en sucursal ,ACT045,Autenticar Cliente
T051009,Actualizar Información de Clientes,autenticar cliente [act045] ,ACT045,Autenticar Cliente
T051009,Actualizar Información de Clientes,"m:gestión de la relación con cliente, p: autenticar cliente usuario en sucursal ",ACT045,Autenticar Cliente
T051009,Actualizar Información de Clientes,autenticar cliente en canal digital ,ACT045,Autenticar Cliente
T051009,Actualizar Información de Clientes,finalizar operación [act086] ,ACT086,Finalizar OperaciÃ³n
T051009,Actualizar Información de Clientes,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T051009,Actualizar Información de Clientes,cerrar solicitud ,ACT378,Cerrar Solicitud
T051303,Certificar cuentas contables,c023: validar resultado ,ACT347,Validar Resultado
T051303,Conciliar Pagos,m: gestión de servicios corporativos p:procesar pago de factura de proveedores ,ACT237,Procesar Pago
T051303,Contabilizar Facturación,m: gestión de servicios corporativos p:procesar pago de factura de proveedores ,ACT237,Procesar Pago
T051303,Contabilizar Facturación,m: gestión de servicios corporativos p: procesar pago de factura de proveedores ,ACT237,Procesar Pago
T051303,Gestionar Facturación Dirección Conciliación y Cobranza,certificar cuentas contables ,CP0469,Certificar cuenta
T051303,Gestionar Legalizaciones y Anticipos,m: soporte organizacional p: procesar pago de factura de proveedores ,ACT237,Procesar Pago
T051303,Gestionar Otros Gastos Presentación de Demanda,m: gestión de servicios corporativos p: procesar pago de factura de proveedores ,ACT237,Procesar Pago
T051303,Gestionar cuentas por cobrar,recibir y asignar solicitud ,CMP75,Asignar Solicitud
T051303,Gestionar cuentas por cobrar,rechazar solicitud ,ACT264,Rechazar Solicitud
T051303,Gestionar cuentas por cobrar,c025 validar solicitud de ampliaciones ,ACT348,Validar Solicitud
T051303,Gestionar facturación comisiones etapa administrativa y  castigada,m: gestión de servicios corporativos p:procesar pago de factura de proveedores ,ACT237,Procesar Pago
T051701,Administrar Novedades Planta Comercial,atender reclamos de planta ,ACT193,Atender Reclamo
T051701,Administrar Novedades Planta Comercial,rechazar solicitud ,ACT264,Rechazar Solicitud
T051904,Administrar información para los modelos de atención,aprobar solicitud ,CMP77,Aprobar Solicitud
T051904,Administrar información para los modelos de atención,radicar solicitud masiva de la estrategia ,CMT79,Radicar Solicitud
T051904,Administrar información para los modelos de atención,radicar solicitud de carga ,CMT79,Radicar Solicitud
T051904,Administrar información para los modelos de atención,radicar solicitud masiva equipo sucursales ,CMT79,Radicar Solicitud
T051904,Administrar información para los modelos de atención,radicar solicitud del equipo comercial ,CMT79,Radicar Solicitud
T051904,Administrar información para los modelos de atención,monitorear operaciones [act220] ,ACT220,Monitorear Operaciones
T051904,Administrar información para los modelos de atención,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T051904,Administrar información para los modelos de atención,rechazar solicitud ,ACT264,Rechazar Solicitud
T051904,Administrar información para los modelos de atención,recibir información [act266] ,ACT266,Recibir InformaciÃ³n
T051904,Administrar información para los modelos de atención,validar solicitudes masivas ,ACT348,Validar Solicitud
T051904,Administrar información para los modelos de atención,validar solicitudes manuales ,ACT348,Validar Solicitud
T051910,Crear Comunidades Negocios e Independientes,radicar solicitud de viabilidad ,CMT79,Radicar Solicitud
T051910,Crear Comunidades Negocios e Independientes,radicar solicitud de estudio de crédito masivo de clientes ,CMT79,Radicar Solicitud
T051910,Crear Comunidades Negocios e Independientes,radicar solicitud de aprobación ,CMT79,Radicar Solicitud
T051910,Crear Comunidades Negocios e Independientes,c003: validar solicitud ,ACT348,Validar Solicitud
T051910,Crear Encadenamientos productivos ,realizar indexación y custodia de información cmf02 ,CMF02,Custodiar Documento Digital
T051910,Crear Encadenamientos productivos ,generar documento (cmf04) ,CMF04,Generar Documento Digital
T051910,Crear Encadenamientos productivos ,aprobar solicitud [cmp77] ,CMP77,Aprobar Solicitud
T051910,Crear Encadenamientos productivos ,radicar solicitud de viabilidad ,CMT79,Radicar Solicitud
T051910,Crear Encadenamientos productivos ,radicar solicitud de estudio de crédito masivo de clientes ,CMT79,Radicar Solicitud
T051910,Crear Encadenamientos productivos ,radicar solicitud de aprobación ,CMT79,Radicar Solicitud
T051910,Crear Encadenamientos productivos ,generar documento (cmf04) ,CP1160,Generar documento
T051910,Crear Encadenamientos productivos ,actualizar registro (act011) ,ACT011,Actualizar Registro
T051910,Crear Encadenamientos productivos ,configurar parámetros [act081] ,ACT081,Configurar ParÃ¡metros
T051910,Crear Encadenamientos productivos ,finalizar operación [act086] ,ACT086,Finalizar OperaciÃ³n
T051910,Crear Encadenamientos productivos ,estructurar información [act165] ,ACT165,Estructurar InformaciÃ³n
T051910,Crear Encadenamientos productivos ,evaluar impacto [act167] ,ACT167,Evaluar Impacto
T051910,Crear Encadenamientos productivos ,c001: evaluar impacto [act167] ,ACT167,Evaluar Impacto
T051910,Crear Encadenamientos productivos ,identificar cliente potencial [act200] ,ACT200,Identificar Cliente Potencial
T051910,Crear Encadenamientos productivos ,informar resultado [act209] ,ACT209,Informar Resultado
T051910,Crear Encadenamientos productivos ,procesar solicitud [act238] ,ACT238,Procesar Solicitud
T051910,Crear Encadenamientos productivos ,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T051910,Crear Encadenamientos productivos ,recibir información [act266] ,ACT266,Recibir InformaciÃ³n
T051910,Crear Encadenamientos productivos ,c003: validar información [act341] ,ACT341,Validar InformaciÃ³n
T051910,Crear Encadenamientos productivos ,c002: validar información [act341] ,ACT341,Validar InformaciÃ³n
T051910,Crear Encadenamientos productivos ,validar resultado [act347] ,ACT347,Validar Resultado
T051910,Crear Encadenamientos productivos ,c003: validar solicitud ,ACT348,Validar Solicitud
T051910,Crear Encadenamientos productivos ,devolver solicitud (act 377) ,ACT377,Devolver Solicitud
T051911,Solicitudes Masivas de Estrategia,radicar solicitud ,CMT79,Radicar Solicitud
T051911,Traslados entre bancas día a día,enviar comunicación/notificación [cmc01] ,CMC01,Enviar ComunicaciÃ³n NotificaciÃ³n
T051911,Traslados entre bancas día a día,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T051911,Traslados entre bancas día a día,solicitar autorización [act311] ,ACT311,Solicitar AutorizaciÃ³n
T051911,Traslados entre bancas día a día,validar condiciones [act327] ,ACT327,Validar CondiciÃ³n
T051911,Traslados entre bancas masivos,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T051911,Traslados entre bancas masivos,realizar simulación [act262] ,ACT262,Realizar SimulaciÃ³n
T051911,Traslados entre bancas masivos,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
T051911,Traslados entre bancas masivos,revisar trazabilidad [act301] ,ACT301,Realizar Trazabilidad
T051911,Traslados entre bancas masivos,solicitar información [act318] ,ACT318,Solicitar InformaciÃ³n
T051911,Traslados entre bancas masivos,validar información [act341] ,ACT341,Validar InformaciÃ³n
T051911,Traslados entre bancas masivos,validar solicitud [act348] ,ACT348,Validar Solicitud
T051918,Personalizar contenido,configurar parámetros [act081] ,ACT081,Configurar ParÃ¡metros
T051918,Personalizar contenido,evaluar impacto [act167] ,ACT167,Evaluar Impacto
T051918,Personalizar contenido,monitorear alertas críticas [act218] ,ACT218,Monitorear Alertas
T051918,Personalizar contenido,publicar información [act243] ,ACT243,Publicar InformaciÃ³n
T051918,Personalizar la propuesta de valor para clientes personas e independientes,actualizar condiciones [act005] ,ACT005,Actualizar CondiciÃ³n
T051918,Personalizar la propuesta de valor para clientes personas e independientes,consolidar información [act098] ,ACT098,Consolidar InformaciÃ³n
