codigo_proceso,t2.procedimiento,t2.actividad,Código,Nombre de la Actividad
T160076,Contingencia Realizar pago para Mercado de Capitales,restablecer operación [act375] ,ACT375,Restablecer OperaciÃ³n Normal
T160076,Realizar Movimientos CIBEST,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
T160076,Realizar Movimientos CIBEST,emitir comprobante [act142] ,ACT142,Emitir Comprobante
T160076,Realizar Movimientos CIBEST,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160076,Realizar Movimientos CIBEST,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
T160076,Realizar Movimientos CIBEST,identificar inconsistencia [act202] ,ACT202,Identificar Inconsistencia
T160076,Realizar Movimientos CIBEST,procesar pago [act237] ,ACT237,Procesar Pago
T160076,Realizar Movimientos CIBEST,validar información [act341] ,ACT341,Validar InformaciÃ³n
T160076,Realizar Movimientos CIBEST,ejecutar transacción [act380] ,ACT380,Ejecutar TransacciÃ³n
T160076,Realizar pago para Mercado de Capitales,anular solicitud [act024] ,ACT024,Cancelar Solicitud
T160076,Realizar pago para Mercado de Capitales,cmp59: autenticar cliente-usuario en sucursal ,ACT045,Autenticar Cliente
T160076,Realizar pago para Mercado de Capitales,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160076,Realizar pago para Mercado de Capitales,procesar pago [act237] ,ACT237,Procesar Pago
T160076,Realizar pago para Mercado de Capitales,procesar solicitud [act238] ,ACT238,Procesar Solicitud
T160076,Realizar pago para Mercado de Capitales,rechazar solicitud [act264] -1 ,ACT264,Rechazar Solicitud
T160076,Realizar pago para Mercado de Capitales,rechazar solicitud [act264] - 2 ,ACT264,Rechazar Solicitud
T160076,Realizar pagos de derivados NDF e interbancarios,ajustar valor [act016] ,ACT016,Ajustar Valor
T160076,Realizar pagos de derivados NDF e interbancarios,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
T160076,Realizar pagos de derivados NDF e interbancarios,gestionar inconsistencia [act191] ,ACT191,Gestionar Inconsistencias
T160076,Realizar pagos de derivados NDF e interbancarios,recibir información [act266] ,ACT266,Recibir InformaciÃ³n
T160077,Complementar Operaciones de Tesoreria,gestionar inconsistencias para corregir registro ,ACT191,Gestionar Inconsistencias
T160077,Complementar Operaciones de Tesorería,actualizar registro [act011] ,ACT011,Actualizar Registro
T160077,Complementar Operaciones de Tesorería,gestionar inconsistencias para corregir registro ,ACT191,Gestionar Inconsistencias
T160077,Complementar Operaciones de Tesorería,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160077,Generar Papeletas (Valores),archivar documento [act032] ,ACT032,Archivar Documento
T160077,Modificar y Corregir Operaciones Bolsa (Valores),cargar información [act066] ,ACT066,Cargar InformaciÃ³n
T160077,Modificar y Corregir Operaciones Bolsa (Valores),descargar reporte [act122] ,ACT122,Descargar Reporte
T160077,Modificar y Corregir Operaciones Bolsa (Valores),diligenciar formulario [act132] ,ACT132,Diligenciar Formulario
T160077,Modificar y Corregir Operaciones Bolsa (Valores),informar resultado [act209] ,ACT209,Informar Resultado
T160077,Procedimiento Contingente,activar contingencia ,ACT363,Activar Contingencia
T160077,Procedimiento Contingente,activar contingencia [act363] ,ACT363,Activar Contingencia
T160077,Procedimiento Contingente,restablecer operación normal [act375] ,ACT375,Restablecer OperaciÃ³n Normal
T160080,Administrar Valoración de Portafolios y Tasas para Negociación,actualizar registro [act011] ,ACT011,Actualizar Registro
T160080,Administrar Valoración de Portafolios y Tasas para Negociación,reportar error [act285] ,ACT285,Registrar Incidente
T160080,Cargar tasas para negociación,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
T160080,Cargar tasas para negociación,informar resultado [act209] ,ACT209,Informar Resultado
T160082,Validar Compensación de Operaciones de Tesorería,ajustar valor [act016] ,ACT016,Ajustar Valor
T160082,Validar Compensación de Operaciones de Tesorería,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160082,Validar Compensación de Operaciones de Tesorería,extraer información [act173] ,ACT173,Extraer InformaciÃ³n
T160082,Validar Compensación de Operaciones de Tesorería,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160084,Administrar Derechos Patrimoniales,descargar reporte [act122] ,ACT122,Descargar Reporte
T160084,Administrar Derechos Patrimoniales,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160084,Administrar Derechos Patrimoniales,procesar pago [act237] ,ACT237,Procesar Pago
T160084,Administrar Derechos Patrimoniales,publicar información [act243] ,ACT243,Publicar InformaciÃ³n
T160084,Administrar Derechos Patrimoniales,validar condiciones [act327] ,ACT327,Validar CondiciÃ³n
T160085,Realizar Confirmación de Operaciones de Tesorería,asignar responsable [act039] ,ACT039,Asignar Responsable
T160085,Realizar Confirmación de Operaciones de Tesorería,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T160085,Realizar Confirmación de Operaciones de Tesorería,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160085,Realizar Confirmación de Operaciones de Tesorería,informar resultado [act209] ,ACT209,Informar Resultado
T160085,Realizar Confirmación de Operaciones de Tesorería,validar condiciones [act327] ,ACT327,Validar CondiciÃ³n
T160085,Validar Operaciones de Tesorería,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
T160085,Validar Operaciones de Tesorería,extraer información [act173] ,ACT173,Extraer InformaciÃ³n
T160085,Validar Operaciones de Tesorería,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T160085,Validar Operaciones de Tesorería,identificar inconsistencia [act202] ,ACT202,Identificar Inconsistencia
T160085,Validar Operaciones de Tesorería,validar respuesta [act345] ,ACT345,Validar Respuesta
T160086,Cumplir operaciones de tesorería por depósitos y por sistemas de pago y recaudo,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
T160086,Cumplir operaciones mercado de capitales,actualizar registro [act011] ,ACT011,Actualizar Registro
T160086,Cumplir operaciones mercado de capitales,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
T160087,Atencion créditos de empleados,radicar solicitud de mantenimiento en el sistema para leasing habitacional ,CMT79,Radicar Solicitud
