t1.id_epica,t1.periodo,codigo_proceso,t2.procedimiento,t2.actividad,matched_proc_codes,matched_codigo_arquetipo,matched_nombre_arquetipo
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,desembolsar crédito [act123] ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,crear producto [act370] ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,crear la cuenta de préstamo ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,crear el desembolso ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,crear desembolso ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c010: validar viabilidad de operación ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c008: validar plantilla según tipo de operación ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c008: validar cufe de operación en la dian ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c005 sox realizar conciliación finacle y sap ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c004: validar cliente en listas de safewatch ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c004 validar cliente en listas de safewatch ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c003: validar lista de clientes críticos y reserva ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c002: revisar el estado del cliente ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c001 validar condiciones de lme y solicitud de crédito ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,ajustar valor [act016] ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,actualizar o modificar información [cmp76] ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,actualizar información financiera ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Autorizar Operaciones por Callback,recibir operación y soportes ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Autorizar Operaciones por Callback,m: cumplimiento de los servicios p: gestionar novedades de cartera ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Autorizar Operaciones por Callback,crear cuenta y autorizar desembolsos ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Autorizar Operaciones por Callback,c007: validar operación por callback ,['PAN040102'],['ARQ002'],['Abrir producto']
