id_epica,periodo,codigo_proceso,procedimiento,actividad,matched_proc_codes,matched_codigo_arquetipo,matched_nombre_arquetipo
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,vinculación centralizada ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,finalizar operación [act086] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,realizar debida diligencia de listas de control ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,capturar datos ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,enviar información [act156] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,solicitar documentos obligatorios ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c004: gestionar busquedas ampliadas ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,cambiar estado de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,m: gestión de la relación con clientes p: evaluar alertas de clientes puerto rico ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,c012: validar listas de control internas ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,m: soporte organizacional p: administrar documentos filiales del exterior ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,entrevistar al potencial cliente ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,crear prospecto ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,recibir solicitud de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,c002: validar documentos soporte ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,gestionar inconsistencias [act191] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,m: gestión de la relación con clientes p: evaluar alertas de clientes puerto rico ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,validar solicitud [act348] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,c009:verificar autorizaciones y revocatorias ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c003: validar en listas de control ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,ingresar a experiencia autogestión ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,enviar información [act156] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,finalizar operación [act086] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c005: validar completitud de los requisitos ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,segmentar cliente ,['PAN050802'],['ARQ114'],['Vincular clientes']
