t1.id_epica,t1.periodo,codigo_proceso,t2.procedimiento,t2.actividad
6788253,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c001 aprobar las estrategias de inversión 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,bloqueo usuario 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,solicitar impugnación 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,solicitar autorización 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,s: crear o vincular clientes 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,revisión inconsistencias 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,"realizar asignación estratégica, táctica y security selection "
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,identificar cambios en el perfil del cliente. 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,formalizar cambios en el manual de inversiones 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,establecer condiciones y medios de negociación 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,enviar instrucción 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,elaborar presentación del comité diario 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,elaborar declaración de cambio 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,corregir inconsistencias 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,"contingencia, fecha actualización: 2025-07-29 "
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c016: impugnar valoración 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c013: realizar control absentismos y vacaciones 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c012: monitorear conexiones fuera de horario laboral y grabación de medios verificables 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c010: verificar la ejecución de las instrucciones 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c009: analizar y aprobar la modificación 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c006: validación carta y envío a pershing 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c004 validar las instrucciones emitidas por los gerentes de portafolio y fondos 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c003verificar la ejecución de las intenciones 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,"c002 validar límites, cupos y revisar atribuciones de negociación "
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c001 realizar un comité diario de seguimiento del mercado 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,bloquear usuario 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,aprobar las estrategias de inversión 
